group_id,name,category,privacy,member_count,creation_date,post_frequency,description,location,related_keywords,discovery_date,school_focus,geographic_scope,target_age_range,outreach_potential,best_contact_methods,admin_responsiveness,group_rules_strictness
fb_group_1012874648,Interview Prep college freshmen Network,Interview Prep,Closed,7765,2018-06-30,11.42,"Job postings, career advice, and networking opportunities for those in Interview Prep.",Asia,"['behavioral interview', 'support', 'technical interview', 'opportunities', 'collaboration', 'community', 'advice']",2025-05-11,Community College,International,16-25,5.5,"['Group Admin Message', 'Post in Group']",Low,Moderate
fb_group_188599871,college freshmen Help & Advice,Campus Housing,Public,7791,2023-03-20,11.75,"Connect with peers in Campus Housing, organize study sessions, and share campus resources.",Online,"['on-campus living', 'opportunities', 'advice', 'discussion', 'resources']",2025-05-11,High School,Global,15-20,6.3,"['Group Admin Message', 'Post in Group']",Medium,Unknown
fb_group_340402942,Future Computer Science Leaders,Computer Science,Closed,30824,2024-01-10,48.98,"Supporting students and professionals in Computer Science. Share research, ask questions, and find collaborators.",Online,"['community', 'support', 'freshmen', 'collaboration', 'resources', 'college']",2025-05-11,Undergraduate,International,20-25,7.9,['Member Direct Messages'],High,Moderate
fb_group_610151641,Campus Housing Opportunities for college freshmen,Campus Housing,Closed,5186,2022-01-28,8.83,"For students interested in Campus Housing to find roommates, study partners, and campus event information.",Global,"['residence halls', 'college', 'freshmen', 'housing options', 'dorms', 'opportunities', 'collaboration']",2025-05-11,Community College,Global,19-25,4.7,['Group Admin Message'],Medium,Strict
fb_group_491108456,Business Learning & Support,Business,Closed,18388,2023-07-17,31.72,"Supporting students and professionals in Business. Share research, ask questions, and find collaborators.",Asia,"['resources', 'discussion', 'entrepreneurship', 'marketing', 'college', 'management', 'advice', 'collaboration']",2025-05-11,High School,State/Provincial,13-21,7.1,"['Group Admin Message', 'Post in Group', 'Member Direct Messages']",Medium,Strict
fb_group_382757832,Medicine college freshmen Network,Medicine,Closed,5375,2019-05-06,14.29,"This group brings together Medicine students, faculty, and professionals for academic discourse and support.",United States,"['opportunities', 'community', 'physician', 'clinical', 'college']",2025-05-11,Undergraduate,National,16-24,5.1,['Group Admin Message'],Unknown,Strict
fb_group_819448383,college freshmen Interview Prep Group,Interview Prep,Public,1097,2023-08-07,1.84,"Job postings, career advice, and networking opportunities for those in Interview Prep.",Global,"['interview questions', 'support', 'preparation', 'community', 'advice', 'college', 'freshmen']",2025-05-11,All Levels,National,16-23,4.1,"['Group Admin Message', 'Post in Group']",Medium,Strict
fb_group_652776709,graduate students Community,Liberal Arts,Closed,894,2019-07-09,1.01,"Supporting students and professionals in Liberal Arts. Share research, ask questions, and find collaborators.",Europe,"['literature', 'collaboration', 'resources', 'writing', 'community', 'history', 'graduate', 'culture']",2025-05-11,Community College,National,22-28,3.3,['Group Admin Message'],High,Unknown
fb_group_943280955,graduate students Students & Internships Professionals,Internships,Closed,28304,2021-11-21,39.92,"Connect with fellow Internships professionals, share job opportunities, and discuss industry trends.",Online,"['graduate', 'advice', 'paid internship', 'resources', 'intern', 'students', 'opportunities']",2025-05-11,Graduate,International,22-32,7.5,['Post in Group'],High,Unknown
fb_group_1068396028,graduate students Community,Graduate School,Closed,788,2019-11-02,1.37,"For students interested in Graduate School to find roommates, study partners, and campus event information.",Asia,"['thesis', 'support', 'students', 'advice', 'opportunities', 'graduate studies']",2025-05-11,Community College,National,23-29,3.3,['Group Admin Message'],Medium,Moderate
fb_group_183532541,Connect: Financial Aid graduate students,Financial Aid,Closed,6596,2022-08-27,10.35,"Connect with peers in Financial Aid, organize study sessions, and share campus resources.",Europe,"['scholarships', 'tuition assistance', 'students', 'opportunities', 'discussion', 'community']",2025-05-11,Undergraduate,Local,20-30,5.2,"['Group Admin Message', 'Post in Group']",Low,Strict
fb_group_257219781,Future Communications Leaders,Communications,Closed,1138,2019-06-14,2.73,"Supporting students and professionals in Communications. Share research, ask questions, and find collaborators.",Online,"['speech', 'community', 'digital media', 'graduate', 'opportunities', 'support', 'discussion', 'public relations']",2025-05-11,Graduate,International,20-31,3.4,"['Group Admin Message', 'Post in Group']",Unknown,Strict
fb_group_358597340,Networking Opportunities for graduate students,Networking,Public,3209,2023-08-18,4.94,A community dedicated to helping students transition into professional roles in Networking.,Asia,"['opportunities', 'collaboration', 'contacts', 'discussion', 'industry events']",2025-05-11,Undergraduate,Regional,24-29,4.8,"['Group Admin Message', 'Post in Group']",Unknown,Moderate
fb_group_1040873737,Career Transitions Opportunities for graduate students,Career Transitions,Closed,4713,2020-09-08,4.97,"Job postings, career advice, and networking opportunities for those in Career Transitions.",Europe,"['reskilling', 'graduate', 'collaboration', 'community', 'transition', 'support', 'changing fields']",2025-05-11,All Levels,Local,23-33,4.4,"['Group Admin Message', 'Post in Group']",Medium,Strict
fb_group_259729764,Medicine Opportunities for graduate students,Medicine,Closed,790,2022-02-27,3.48,"This group brings together Medicine students, faculty, and professionals for academic discourse and support.",Europe,"['physician', 'collaboration', 'advice', 'community', 'doctor']",2025-05-11,Undergraduate,Global,21-33,3.4,['Group Admin Message'],Low,Unknown
fb_group_818321319,Future Engineering Leaders,Engineering,Closed,2866,2023-08-28,4.54,"This group brings together Engineering students, faculty, and professionals for academic discourse and support.",Europe,"['students', 'technical', 'discussion', 'community', 'civil', 'electrical', 'support', 'resources']",2025-05-11,Undergraduate,International,24-32,3.9,"['Group Admin Message', 'Post in Group']",Low,Moderate
fb_group_504552182,graduate students Social Sciences Group,Social Sciences,Closed,7358,2022-08-19,12.81,"Supporting students and professionals in Social Sciences. Share research, ask questions, and find collaborators.",United States,"['anthropology', 'behavioral', 'support', 'collaboration', 'research', 'discussion', 'psychology', 'graduate']",2025-05-11,High School,State/Provincial,13-20,5.5,"['Group Admin Message', 'Post in Group']",Unknown,Moderate
fb_group_194119787,graduate students Community,Liberal Arts,Public,4955,2021-02-01,3.49,"A space for Liberal Arts students to connect with peers, ask questions, and share advice on coursework and research.",Asia,"['graduate', 'opportunities', 'discussion', 'community', 'humanities', 'advice', 'collaboration']",2025-05-11,Undergraduate,Local,22-28,5.2,"['Group Admin Message', 'Post in Group', 'Member Direct Messages']",Unknown,Unknown
fb_group_267840241,Communications Learning & Support,Communications,Closed,5174,2019-03-23,9.34,"This group brings together Communications students, faculty, and professionals for academic discourse and support.",Europe,"['journalism', 'support', 'digital media', 'speech', 'opportunities']",2025-05-11,Undergraduate,Regional,16-33,4.8,"['Group Admin Message', 'Member Direct Messages']",Low,Relaxed
fb_group_639420949,international students Graduate School Group,Graduate School,Public,5246,2022-01-18,11.62,"Connect with peers in Graduate School, organize study sessions, and share campus resources.",Online,"['dissertation', 'collaboration', 'community', 'thesis', 'grad school', 'international', 'opportunities', 'doctoral']",2025-05-11,Community College,Local,19-36,5.6,['Group Admin Message'],High,Unknown
fb_group_372557386,Law international students Network,Law,Public,1379,2021-04-20,3.6,"A space for Law students to connect with peers, ask questions, and share advice on coursework and research.",Global,"['opportunities', 'paralegal', 'legal profession', 'discussion', 'collaboration', 'resources', 'international', 'law school']",2025-05-11,Professional School,International,17-34,4.3,['Group Admin Message'],Medium,Unknown
fb_group_357456785,Connect: Engineering international students,Engineering,Closed,242,2018-09-07,5.12,"This group brings together Engineering students, faculty, and professionals for academic discourse and support.",Europe,"['discussion', 'electrical', 'engineering major', 'opportunities', 'community', 'support', 'resources']",2025-05-11,Community College,National,18-37,3.3,"['Group Admin Message', 'Post in Group']",High,Strict
fb_group_104989682,Future Internships Leaders,Internships,Closed,6760,2019-12-13,9.25,A community dedicated to helping students transition into professional roles in Internships.,United States,"['summer internship', 'opportunities', 'community', 'intern', 'trainee']",2025-05-11,Undergraduate,State/Provincial,19-38,5.2,['Member Direct Messages'],High,Relaxed
fb_group_371159393,international students Success in Student Organizations,Student Organizations,Closed,1188,2019-09-30,2.86,A supportive community for students navigating Student Organizations challenges and celebrating successes.,Global,"['resources', 'opportunities', 'community', 'leadership', 'advice', 'students', 'student groups']",2025-05-11,High School,State/Provincial,13-22,3.4,"['Group Admin Message', 'Post in Group', 'Member Direct Messages']",Low,Unknown
fb_group_572533130,Future Scholarships Leaders,Scholarships,Closed,2266,2022-12-22,6.41,A supportive community for students navigating Scholarships challenges and celebrating successes.,Online,"['community', 'international', 'funding opportunities', 'students', 'collaboration']",2025-05-11,All Levels,Local,17-34,3.9,['Post in Group'],Unknown,Moderate
fb_group_644214134,Connect: Job Hunting international students,Job Hunting,Closed,19800,2022-01-03,23.01,A community dedicated to helping students transition into professional roles in Job Hunting.,Online,"['opportunities', 'collaboration', 'job market', 'applications', 'discussion']",2025-05-11,Community College,State/Provincial,18-33,6.7,['Member Direct Messages'],High,Relaxed
fb_group_1093626665,international students Community,Medicine,Public,5974,2019-08-29,14.23,"Supporting students and professionals in Medicine. Share research, ask questions, and find collaborators.",Europe,"['MCAT', 'support', 'physician', 'discussion', 'community', 'students']",2025-05-11,High School,Global,15-22,6.0,"['Group Admin Message', 'Member Direct Messages']",Medium,Unknown
fb_group_410123600,international students Community,Social Sciences,Closed,3045,2022-11-12,3.95,"A community for Social Sciences students and scholars to network, share resources, and discuss academic topics.",Europe,"['discussion', 'collaboration', 'support', 'advice', 'resources', 'sociology', 'behavioral', 'psychology']",2025-05-11,High School,International,14-19,4.0,['Group Admin Message'],Unknown,Strict
fb_group_799593338,international students Students & Student Activities Professionals,Student Activities,Closed,6370,2021-03-11,14.19,A supportive community for students navigating Student Activities challenges and celebrating successes.,United States,"['discussion', 'activities', 'opportunities', 'collaboration', 'advice']",2025-05-11,High School,Global,16-21,5.3,"['Group Admin Message', 'Post in Group']",Low,Moderate
fb_group_303663199,Connect: College Life international students,College Life,Closed,1344,2021-02-27,3.3,"For students interested in College Life to find roommates, study partners, and campus event information.",Europe,"['advice', 'international', 'support', 'dorm', 'resources', 'students']",2025-05-11,Undergraduate,International,16-36,3.5,['Group Admin Message'],Low,Moderate
fb_group_362634398,international students Liberal Arts Group,Liberal Arts,Public,5983,2024-01-15,13.18,"A space for Liberal Arts students to connect with peers, ask questions, and share advice on coursework and research.",Global,"['advice', 'opportunities', 'resources', 'collaboration', 'international']",2025-05-11,Community College,Local,19-35,5.9,['Group Admin Message'],High,Unknown
fb_group_474548933,Future Career Transitions Leaders,Career Transitions,Closed,4739,2019-06-24,2.18,"Connect with fellow Career Transitions professionals, share job opportunities, and discuss industry trends.",Global,"['support', 'international', 'resources', 'reskilling', 'new industry', 'transition']",2025-05-11,All Levels,State/Provincial,19-32,4.3,"['Group Admin Message', 'Post in Group']",Unknown,Relaxed
fb_group_479087097,international students Success in Engineering,Engineering,Closed,6665,2021-10-08,11.21,"Supporting students and professionals in Engineering. Share research, ask questions, and find collaborators.",Global,"['opportunities', 'engineering major', 'discussion', 'resources', 'students', 'mechanical', 'international', 'electrical']",2025-05-11,Not School Specific,Regional,17-37,4.5,['Group Admin Message'],Medium,Moderate
fb_group_240758943,transfer students Community,Business,Closed,4476,2024-04-28,2.62,"Supporting students and professionals in Business. Share research, ask questions, and find collaborators.",Asia,"['transfer', 'economics', 'resources', 'students', 'support', 'marketing', 'finance']",2025-05-11,Community College,Local,18-34,4.2,['Group Admin Message'],Unknown,Unknown
fb_group_684300154,Connect: Internships transfer students,Internships,Closed,6036,2023-08-23,10.67,"Job postings, career advice, and networking opportunities for those in Internships.",Global,"['transfer', 'support', 'collaboration', 'community', 'work experience', 'practicum', 'opportunities', 'discussion']",2025-05-11,Professional School,International,20-32,5.0,['Group Admin Message'],Medium,Unknown
fb_group_170425196,transfer students Community,Entry-Level,Closed,7198,2021-02-07,10.3,"Job postings, career advice, and networking opportunities for those in Entry-Level.",Europe,"['opportunities', 'resources', 'junior position', 'first job', 'discussion', 'students']",2025-05-11,High School,Global,15-20,5.3,"['Post in Group', 'Member Direct Messages']",High,Moderate
fb_group_593955543,Resume Building Opportunities for transfer students,Resume Building,Closed,3212,2019-09-27,4.46,A community dedicated to helping students transition into professional roles in Resume Building.,United States,"['application materials', 'students', 'collaboration', 'resources', 'CV']",2025-05-11,Graduate,State/Provincial,22-31,4.0,"['Group Admin Message', 'Post in Group']",High,Moderate
fb_group_509677098,transfer students Help & Advice,Career Transitions,Closed,1872,2019-04-20,2.2,A community dedicated to helping students transition into professional roles in Career Transitions.,United States,"['discussion', 'reskilling', 'resources', 'transition', 'students', 'changing fields', 'transfer']",2025-05-11,All Levels,State/Provincial,16-33,3.6,['Group Admin Message'],Unknown,Strict
fb_group_597630554,Connect: Business first generation college,Business,Closed,9218,2023-05-15,5.69,"A space for Business students to connect with peers, ask questions, and share advice on coursework and research.",Asia,"['support', 'discussion', 'college', 'community', 'opportunities', 'startups']",2025-05-11,Graduate,Local,20-26,5.6,['Group Admin Message'],Low,Moderate
fb_group_987622197,Future Education Leaders,Education,Closed,4290,2019-05-03,1.32,"This group brings together Education students, faculty, and professionals for academic discourse and support.",United States,"['generation', 'learning', 'resources', 'pedagogy', 'educational studies', 'support', 'childhood education', 'discussion']",2025-05-11,Community College,Global,20-25,4.1,['Group Admin Message'],Low,Unknown
fb_group_646765671,first generation college Community,Study Abroad,Closed,7746,2022-02-24,5.13,"Connect with peers in Study Abroad, organize study sessions, and share campus resources.",United States,"['college', 'discussion', 'collaboration', 'community', 'first', 'foreign university']",2025-05-11,All Levels,Regional,18-23,5.2,['Member Direct Messages'],Low,Relaxed
fb_group_865815472,first generation college Success in Professional Development,Professional Development,Public,896,2020-06-22,1.26,"Support group for early-career professionals in Professional Development. Resume reviews, interview tips, and mentorship.",Europe,"['opportunities', 'skills', 'workshops', 'certification', 'training']",2025-05-11,High School,State/Provincial,14-22,4.0,['Group Admin Message'],Medium,Relaxed
fb_group_135478636,College Life first generation college Network,College Life,Closed,1668,2019-07-04,6.17,A supportive community for students navigating College Life challenges and celebrating successes.,Online,"['sophomore', 'collaboration', 'university life', 'college', 'college experience', 'advice', 'college students']",2025-05-11,PhD,State/Provincial,16-25,3.7,['Group Admin Message'],Unknown,Moderate
fb_group_419549424,first generation college Success in Education,Education,Closed,1917,2019-08-06,3.24,"This group brings together Education students, faculty, and professionals for academic discourse and support.",Global,"['childhood education', 'discussion', 'teaching', 'community', 'learning', 'college', 'generation']",2025-05-11,High School,International,13-19,3.6,['Member Direct Messages'],Low,Strict
fb_group_257658802,Connect: Scholarships first generation college,Scholarships,Closed,7957,2021-07-28,6.01,A supportive community for students navigating Scholarships challenges and celebrating successes.,Global,"['fellowship', 'community', 'college', 'support', 'collaboration']",2025-05-11,All Levels,Local,19-24,5.3,"['Group Admin Message', 'Post in Group']",High,Unknown
fb_group_398402427,first generation college Help & Advice,Education,Public,1425,2023-01-19,5.36,"Supporting students and professionals in Education. Share research, ask questions, and find collaborators.",Europe,"['teaching', 'opportunities', 'support', 'first', 'educational studies']",2025-05-11,High School,National,16-21,4.4,"['Group Admin Message', 'Member Direct Messages']",Unknown,Strict
fb_group_124296976,Communications Opportunities for first generation college,Communications,Public,884,2022-06-30,3.51,"A community for Communications students and scholars to network, share resources, and discuss academic topics.",Online,"['journalism', 'speech', 'discussion', 'support', 'digital media', 'community', 'first', 'public relations']",2025-05-11,PhD,National,18-23,4.1,['Group Admin Message'],Medium,Moderate
fb_group_451434151,Psychology Opportunities for first generation college,Psychology,Closed,6192,2020-11-08,5.0,"A space for Psychology students to connect with peers, ask questions, and share advice on coursework and research.",United States,"['behavioral', 'college', 'mental health', 'cognitive', 'advice', 'generation', 'support', 'collaboration']",2025-05-11,Graduate,National,18-23,4.8,['Group Admin Message'],Low,Relaxed
fb_group_1035753956,student organizations Students & Student Activities Professionals,Student Activities,Closed,3603,2023-07-03,1.89,A supportive community for students navigating Student Activities challenges and celebrating successes.,Global,"['university programs', 'advice', 'resources', 'opportunities', 'collaboration', 'student']",2025-05-11,All Levels,State/Provincial,17-34,4.0,['Member Direct Messages'],Medium,Relaxed
fb_group_574896834,student organizations Success in Communications,Communications,Closed,2330,2022-07-07,5.75,"A space for Communications students to connect with peers, ask questions, and share advice on coursework and research.",Online,"['organizations', 'speech', 'collaboration', 'advice', 'discussion', 'media', 'resources']",2025-05-11,Graduate,Global,20-28,3.9,['Member Direct Messages'],Unknown,Relaxed
fb_group_246519781,student organizations Professional Development Group,Professional Development,Public,2582,2018-10-16,5.88,A community dedicated to helping students transition into professional roles in Professional Development.,Online,"['opportunities', 'resources', 'discussion', 'support', 'student', 'training', 'organizations', 'skills']",2025-05-11,Graduate,Regional,24-29,4.7,"['Group Admin Message', 'Post in Group', 'Comment on Active Threads']",Medium,Unknown
fb_group_561233968,Future Engineering Leaders,Engineering,Closed,2586,2022-11-06,2.83,"A community for Engineering students and scholars to network, share resources, and discuss academic topics.",Global,"['resources', 'community', 'mechanical', 'support', 'opportunities']",2025-05-11,High School,State/Provincial,13-18,3.8,"['Group Admin Message', 'Post in Group']",Unknown,Relaxed
fb_group_684670034,student organizations Law Group,Law,Closed,2216,2019-02-20,6.79,"A space for Law students to connect with peers, ask questions, and share advice on coursework and research.",Europe,"['LSAT', 'organizations', 'law school', 'support', 'JD', 'paralegal', 'student', 'advice']",2025-05-11,PhD,Local,16-35,3.9,['Group Admin Message'],Unknown,Moderate
fb_group_638701278,Future Liberal Arts Leaders,Liberal Arts,Closed,7965,2022-09-18,6.53,"This group brings together Liberal Arts students, faculty, and professionals for academic discourse and support.",Europe,"['resources', 'history', 'literature', 'collaboration', 'arts', 'advice', 'culture']",2025-05-11,High School,National,13-18,5.3,"['Group Admin Message', 'Post in Group', 'Member Direct Messages']",Medium,Relaxed
fb_group_1081790842,Connect: Engineering student organizations,Engineering,Closed,3881,2019-04-16,2.01,"A space for Engineering students to connect with peers, ask questions, and share advice on coursework and research.",Global,"['discussion', 'organizations', 'collaboration', 'support', 'civil', 'mechanical', 'engineering major']",2025-05-11,Not School Specific,Regional,17-35,3.3,['Group Admin Message'],High,Unknown
fb_group_669738672,study groups Success in Career Transitions,Career Transitions,Closed,1792,2022-04-09,3.43,A community dedicated to helping students transition into professional roles in Career Transitions.,Global,"['support', 'study', 'changing fields', 'career change', 'new industry', 'transition', 'groups']",2025-05-11,Undergraduate,International,16-37,3.6,['Group Admin Message'],Unknown,Strict
fb_group_108046274,Student Organizations Learning & Support,Student Organizations,Closed,2973,2019-03-31,6.56,"Connect with peers in Student Organizations, organize study sessions, and share campus resources.",United States,"['societies', 'campus activities', 'leadership', 'discussion', 'study', 'collaboration']",2025-05-11,Undergraduate,Regional,19-36,4.1,['Group Admin Message'],High,Moderate
fb_group_797346270,study groups Natural Sciences Group,Natural Sciences,Closed,3083,2020-03-13,2.05,"A community for Natural Sciences students and scholars to network, share resources, and discuss academic topics.",United States,"['community', 'support', 'collaboration', 'opportunities', 'lab work', 'research']",2025-05-11,Not School Specific,Global,17-34,3.1,['Group Admin Message'],Low,Moderate
fb_group_314869869,Connect: College Life study groups,College Life,Public,12906,2019-03-31,46.04,"Discuss College Life events, student activities, and campus life. Share tips on balancing academics and social life.",Global,"['advice', 'sophomore', 'collaboration', 'support', 'groups', 'dorm', 'resources', 'campus']",2025-05-11,Not School Specific,Global,18-35,7.8,"['Group Admin Message', 'Post in Group']",Medium,Strict
fb_group_805889124,Future Medicine Leaders,Medicine,Closed,1866,2021-01-04,4.29,"A space for Medicine students to connect with peers, ask questions, and share advice on coursework and research.",Europe,"['clinical', 'collaboration', 'physician', 'support', 'doctor']",2025-05-11,Graduate,Regional,22-33,3.7,['Group Admin Message'],Unknown,Relaxed
fb_group_1009538371,study groups Community,Career Transitions,Closed,1936,2023-04-28,3.95,"Connect with fellow Career Transitions professionals, share job opportunities, and discuss industry trends.",Global,"['resources', 'career change', 'advice', 'support', 'community', 'changing fields', 'discussion', 'new industry']",2025-05-11,Not School Specific,Global,16-36,2.9,"['Group Admin Message', 'Post in Group']",High,Moderate
fb_group_580053479,Business Learning & Support,Business,Closed,9886,2023-05-27,8.97,"A space for Business students to connect with peers, ask questions, and share advice on coursework and research.",United States,"['collaboration', 'marketing', 'entrepreneurship', 'community', 'support']",2025-05-11,Graduate,Local,20-33,5.9,['Group Admin Message'],Medium,Moderate
fb_group_921665982,Connect: Interview Prep study groups,Interview Prep,Closed,3284,2020-10-27,3.33,"Support group for early-career professionals in Interview Prep. Resume reviews, interview tips, and mentorship.",Global,"['preparation', 'mock interviews', 'technical interview', 'behavioral interview', 'collaboration', 'resources']",2025-05-11,Not School Specific,State/Provincial,18-32,3.2,"['Group Admin Message', 'Post in Group']",Low,Relaxed
fb_group_171163281,Future Natural Sciences Leaders,Natural Sciences,Closed,320,2018-05-14,3.81,"This group brings together Natural Sciences students, faculty, and professionals for academic discourse and support.",Online,"['groups', 'scientific', 'collaboration', 'research', 'chemistry', 'opportunities']",2025-05-11,Undergraduate,Global,18-35,3.3,"['Group Admin Message', 'Post in Group']",Unknown,Moderate
fb_group_299349799,Future Education Leaders,Education,Closed,987,2020-06-03,3.16,"A space for Education students to connect with peers, ask questions, and share advice on coursework and research.",United States,"['resources', 'study', 'educational studies', 'community', 'collaboration', 'teaching']",2025-05-11,Not School Specific,Global,19-36,2.7,['Group Admin Message'],Low,Moderate
fb_group_819558661,academic support Internships Group,Internships,Closed,19059,2020-02-22,13.56,A community dedicated to helping students transition into professional roles in Internships.,Asia,"['discussion', 'advice', 'resources', 'support', 'trainee', 'community']",2025-05-11,All Levels,Global,16-34,6.2,['Group Admin Message'],High,Unknown
fb_group_892970456,Professional Development Opportunities for academic support,Professional Development,Public,4599,2023-01-01,1.01,"Support group for early-career professionals in Professional Development. Resume reviews, interview tips, and mentorship.",Asia,"['certification', 'support', 'support', 'opportunities', 'collaboration', 'academic', 'resources']",2025-05-11,Graduate,Global,24-29,5.0,['Post in Group'],Unknown,Strict
fb_group_808867383,Campus Housing Opportunities for academic support,Campus Housing,Public,4570,2023-02-08,5.71,"Connect with peers in Campus Housing, organize study sessions, and share campus resources.",Global,"['support', 'residence halls', 'dorms', 'support', 'discussion', 'resources']",2025-05-11,All Levels,State/Provincial,17-35,5.2,['Group Admin Message'],High,Strict
fb_group_565613826,academic support Community,College Life,Closed,5616,2019-01-04,7.31,"Connect with peers in College Life, organize study sessions, and share campus resources.",Global,"['discussion', 'community', 'academic', 'campus', 'dorm', 'support', 'advice']",2025-05-11,All Levels,Regional,20-38,4.8,"['Group Admin Message', 'Post in Group']",Low,Relaxed
fb_group_101490546,academic support Students & Study Abroad Professionals,Study Abroad,Public,2850,2022-05-02,5.38,"For students interested in Study Abroad to find roommates, study partners, and campus event information.",Asia,"['foreign university', 'community', 'international study', 'collaboration', 'opportunities']",2025-05-11,Graduate,National,24-29,4.7,['Group Admin Message'],High,Relaxed
fb_group_459718221,academic support Help & Advice,Scholarships,Closed,4612,2021-07-31,4.99,"Connect with peers in Scholarships, organize study sessions, and share campus resources.",Europe,"['academic', 'support', 'support', 'opportunities', 'discussion', 'community']",2025-05-11,Undergraduate,International,20-32,4.4,['Group Admin Message'],Medium,Moderate
fb_group_1073962249,academic support Success in Entry-Level,Entry-Level,Closed,224,2023-06-03,3.67,"Connect with fellow Entry-Level professionals, share job opportunities, and discuss industry trends.",Europe,"['first job', 'new grad', 'opportunities', 'junior position', 'resources', 'recent graduate', 'community']",2025-05-11,High School,International,14-19,3.2,['Group Admin Message'],Unknown,Strict
fb_group_1051595306,academic support Students & Entry-Level Professionals,Entry-Level,Public,6058,2024-03-25,10.25,A community dedicated to helping students transition into professional roles in Entry-Level.,Asia,"['advice', 'opportunities', 'collaboration', 'first job', 'community', 'new grad']",2025-05-11,All Levels,International,20-35,5.8,['Post in Group'],Low,Moderate
